"filename", "language", "JSON with Comments", "Properties", "JavaScript", "Markdown", "Log", "JavaScript JSX", "TypeScript", "CSS", "JSON", "Prisma", "SQL", "HTML", "YAML", "comment", "blank", "total"
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\callReducer.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\conversationReducer.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 33
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\friendReducer.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 50
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\groupReducer.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 52
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\notifyReducer.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\onlineReducer.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\postReducer.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 4, 49
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\signinReducer.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\storyReducer.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Workspace\own\horizon\frontend\src\Reduxs\Reducers\themeReducer.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Workspace\own\horizon\frontend\src\Reduxs\Store.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 4, 53
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\authType.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\callType.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
